domain,IP
unmineable.com,51.75.75.163
rx.unmineable.com,52.195.14.54
cryptominded.com,54.180.146.246
tpool.yiluzhuanqian.com,139.99.120.50
xcn1.yiluzhuanqian.com,49.12.80.38
xmr.yiluzhuanqian.com,49.12.80.39
googleminer.com,49.12.80.40
fr.minexmr.com,51.254.84.37
pool.minexmr.uk,49.12.80.40
xmr.748pz.net,5.189.171.187
2miners.com,159.65.206.137
xmr.2miners.com,205.147.109.89
bmpool.org,135.181.62.60
mine.bmpool.org,135.181.62.60
kronecoin.org,109.122.17.187
seed.kronecoin.org,109.122.19.233
fastpool.xyz,109.122.21.57
ppxxmr.com,109.200.230.228
huadong1-aeon.ppxxmr.com,109.200.239.116
jw-js1.ppxxmr.com,110.174.11.117
mine.ppxxmr.com,115.196.176.31
mine1.ppxxmr.com,115.70.207.118
miner.ppxxmr.com,132.255.172.2
pool.ppxxmr.com,135.181.62.60
poolchange.ppxxmr.com,141.255.84.48
ppxvip1.ppxxmr.com,173.249.36.200
xmr.ppxxmr.com,179.203.251.42
titcoinpool.com,183.212.113.247
titcoins.info,185.103.153.205
seed.titcoinpool.com,185.109.168.132
seed.titcoins.info,185.220.101.18
joulecoin.org,188.124.42.105
seed1.joulecoin.org,188.166.113.181
seed2.joulecoin.org,195.74.76.237
seed3.joulecoin.org,2.229.120.121
seed4.joulecoin.org,217.144.175.237
seed5.joulecoin.org,217.146.82.102
seed6.joulecoin.org,31.4.236.97
seed7.joulecoin.org,31.4.247.155
seed8.joulecoin.org,37.120.133.73
moneroocean.stream,45.154.14.95
gulf.moneroocean.stream,45.77.152.180
jp.moneroocean.stream,45.77.152.180
luckpool.net,45.77.152.180
ap.luckpool.net,46.250.25.121
eu.luckpool.net,46.250.26.211
na.luckpool.net,52.143.28.3
node3.luckpool.net,62.171.176.187
,62.80.191.164
,74.74.76.149
,77.247.181.163
,78.180.38.32
,79.147.150.181
,82.42.36.23
,83.51.143.62
,84.66.171.180
,87.168.45.14
,89.187.1.234
,93.73.141.143
,95.151.35.130
,95.213.193.198
,95.213.193.235
,95.26.150.131
,168.119.11.231
,119.205.235.58
,119.205.235.58
,136.243.90.99
,136.243.90.99
,153.127.216.132
,94.176.237.229
,94.176.237.229
,94.176.237.229
,149.202.42.174
,151.80.144.188
,198.251.88.21
,213.32.74.157
,51.15.78.68
,5.196.26.96
,51.15.55.100
,51.15.55.162
,51.15.58.224
,51.15.67.17
,51.15.69.136
,51.255.34.118
,51.255.34.79
,51.255.34.80
,79.137.82.70
,92.222.10.59
,92.222.180.118
,172.94.88.173
,49.12.80.40
,37.187.95.110
,159.65.30.104
,149.202.83.171
,37.187.95.110
,91.121.140.167
,94.23.23.52
,94.23.247.226
,49.12.80.38
,49.12.80.39
,178.32.120.127
,192.110.160.114
,157.90.156.89
,178.63.100.197
,217.182.169.148
,51.255.34.118
,195.201.124.214
,107.178.104.10
,104.31.70.206
,104.31.71.206
,130.185.202.159
,213.91.128.133
,35.204.154.155
,51.15.55.162
,51.81.195.38
,18.180.72.219
,149.202.83.171
,51.255.34.80
,116.203.4.0
,18.180.72.219
,136.244.80.197
,142.202.242.43
,139.99.123.225
,144.217.253.98
,149.56.27.47
,192.99.68.109
,66.70.189.125
,79.137.70.48
,162.19.139.184
,51.89.96.41
,194.145.227.21
,194.145.227.21
,213.32.74.157
,162.19.139.184
,51.15.69.136
,125.253.92.50
,131.153.142.106
